Date, Close/Last, Volume, Open, High, Low
06/09/2020, 1721.9, 178128, 1703.9, 1729.4, 1697.6
06/08/2020, 1705.1, 151461, 1686.7, 1707.6, 1680.7
06/05/2020, 1683, 267086, 1720.8, 1723.2, 1671.7
06/04/2020, 1727.4, 193873, 1702.8, 1729, 1698.9
06/03/2020, 1704.8, 249036, 1733.7, 1738.9, 1690.3
06/02/2020, 1734, 172030, 1750.3, 1757, 1728
06/01/2020, 1750.3, 142807, 1749.8, 1761, 1737.6
05/29/2020, 1736.9, 1406, 1718.8, 1738.3, 1715.1
05/28/2020, 1728.3, 159174, 1725, 1743.7, 1720
05/27/2020, 1726.8, 156746, 1724.1, 1729.1, 1701.6
05/26/2020, 1728.2, 146582, 1746.3, 1755.6, 1721.2
05/22/2020, 1734.6, 6, 1726.6, 1726.7, 1726.6
05/21/2020, 1721.9, 225941, 1751.7, 1751.7, 1715.3
05/20/2020, 1750.6, 16, 1751.6, 1752.1, 1745.6
05/19/2020, 1745.6, 181673, 1734.8, 1751.6, 1727.2
05/18/2020, 1734.4, 264848, 1757.5, 1775.8, 1729.3
05/15/2020, 1753.4, 719, 1739.7, 1751.4, 1739.7
05/14/2020, 1740.9, 208601, 1723.1, 1746.5, 1716
05/13/2020, 1716.4, 204533, 1705, 1726.5, 1701.6
05/12/2020, 1706.8, 182675, 1700, 1716.7, 1693.5
05/11/2020, 1698, 184455, 1706, 1713.8, 1692.1
05/08/2020, 1709.9, 330, 1726.2, 1728.9, 1703.8
05/07/2020, 1725.8, 233381, 1686, 1733.2, 1683.9
05/06/2020, 1688.5, 196313, 1714.1, 1716.6, 1683
05/05/2020, 1710.6, 179577, 1711, 1717.8, 1695.4
05/04/2020, 1713.3, 146307, 1711.2, 1726, 1700.3
05/01/2020, 1694.5, 337, 1686.6, 1701.5, 1670.5
04/30/2020, 1694.2, 228730, 1729.6, 1737, 1687.5
04/29/2020, 1703.4, 373, 1710, 1713.5, 1702
04/28/2020, 1722.2, 166606, 1724.4, 1731.9, 1704.1
04/27/2020, 1723.8, 142721, 1745, 1745.8, 1720
04/24/2020, 1723.5, 221, 1744, 1744, 1714.5
04/23/2020, 1745.4, 194495, 1736.5, 1764.2, 1730.6
04/22/2020, 1738.3, 187864, 1703.1, 1742.4, 1695.4
04/21/2020, 1687.8, 240743, 1713.3, 1718, 1666.2
04/20/2020, 1711.2, 183636, 1693, 1718.4, 1685
04/17/2020, 1689.2, 223, 1715.7, 1725, 1684.9
04/16/2020, 1731.7, 199823, 1743.5, 1768, 1722.6
04/15/2020, 1740.2, 181342, 1758.1, 1759.8, 1731.6
04/14/2020, 1768.9, 234439, 1761.5, 1788.8, 1747.1
04/13/2020, 1744.8, 696, 1722, 1756.8, 1710.7
04/09/2020, 1736.2, 825, 1662.7, 1732.5, 1662.7
04/08/2020, 1684.3, 121346, 1678.7, 1695.8, 1670.7
04/07/2020, 1683.7, 194263, 1707.1, 1742.6, 1672
04/06/2020, 1677, 1063, 1629.1, 1696.7, 1625.9
04/03/2020, 1633.7, 643, 1624.5, 1636, 1619.8
04/02/2020, 1637.7, 162151, 1602.4, 1645.6, 1595.2
04/01/2020, 1591.4, 159377, 1589.4, 1612.4, 1576
03/31/2020, 1583.4, 2694, 1618.7, 1621, 1576
03/30/2020, 1643.2, 144290, 1663.4, 1673.6, 1632
03/27/2020, 1623.9, N/A, 1623.9, 1623.9, 1623.9
03/26/2020, 1660.3, 134861, 1642.2, 1677.2, 1612
03/25/2020, 1634.3, 104547, 1665.5, 1698, 1609
03/24/2020, 1660.2, 442, 1622.8, 1685.5, 1622.8
